"SVAAS — MASTER EXECUTION ENGINE  |  All Tasks, All Phases, Day 1 to Day 730 #","Dept","Category","Task","Sub-Task / Exact Action","Notes & Dependencies","Priority","Phase","Days","Cost Low","Cost Likely","Cost High","Owner"
"88","BRAND","Website","Build ingredient library page","Use Svaaskriti_Ingredients.docx as source. Create one card per ingredient: English name + Tamil name + Sanskrit name where available + benefit description + hero ingredient badge for top 10. Link from product page and QR code.","This is the proof behind 61+. It is the most powerful trust-building page on the site.","HIGH","P2","Day 42-63","-","-","-","Oodles"
"89","BRAND","Website","Set up payment gateway (Razorpay)","Create Razorpay account. Link to business current account. Integrate with Shopify. Test with ₹1 transaction. Confirm KYC completion (required before large payouts).","Do not go live without testing a real payment end-to-end.","CRITICAL","P2","Day 35-49","-","-","-","Founder + Oodles"
"90","BRAND","Website","Set up Shiprocket","Create Shiprocket account. Integrate with Shopify. Set shipping rules: free above ₹999, ₹80 flat below. Set courier preference: Delhivery (sub-500g). Test label generation.","Shiprocket automates label printing and courier booking. Critical for order fulfilment.","HIGH","P2","Day 35-49","-","-","-","Oodles"
"91","BRAND","Website","Configure Google Analytics 4 + Meta Pixel","Install GA4 tag. Install Meta Pixel. Set up conversion events: Add to Cart, Checkout Initiated, Purchase. Verify data is flowing before launch.","Data from Day 1 of launch. Cannot be retrofitted.","HIGH","P2","Day 49-63","-","-","-","Oodles"
"92","BRAND","Photography","Shoot hero product photography — 30 images minimum","Styles needed: (a) Clean marble flat-lay × 10 (b) Nature/herb-immersed × 10 (c) In-use / hands applying oil × 5 (d) Gifting arrangement × 5. Use terracotta packaging direction. Amber bottle.","Shoot with prototype packaging if final not ready. Can reshoot with final packaging later. Do not delay all marketing waiting for perfect final packaging.","CRITICAL","P2","Day 42-63","Rs.8000","Rs.15000","Rs.30000","Oodles"
"93","BRAND","Video","Shoot 60-second brand film","Sequence: herbs in Chennai market → weighing on scale → oil being processed → woman at window applying oil → she breathes slowly. No dialogue. Music only. This is the anchor launch content piece.","Shoot in Oodles office / available natural-light space. Does not need a film crew — a good videographer with a DSLR is sufficient.","HIGH","P2","Day 49-70","Rs.10000","Rs.20000","Rs.40000","Oodles"
"94","BRAND","Social","Create Instagram business profile","Username: consistent with brand name. Bio: 60 characters — 'Ritual wellness. Handmade in Chennai.' Link to Shopify via Linktree or direct.","Set up now even if posting starts in Phase 4. Reserve the handle.","HIGH","P2","Day 21-28","-","-","-","Oodles"
"95","BRAND","Social","Plan first 30 days of Instagram content","Map 3 posts/week × 4 weeks = 12 posts. Post types: 4 ingredient carousels, 3 product flat-lays, 2 how-to reels, 2 founder story posts, 1 launch announcement. Create all 12 before launch week.","Creating content in real-time during launch week is chaotic. Build the buffer before launch.","HIGH","P2","Day 49-70","-","-","-","Oodles"
"96","BRAND","Email","Set up Klaviyo","Free up to 250 contacts. Configure: welcome series (3 emails), post-purchase Day 7 / Day 30 / Day 45, abandoned cart 60 min / 24 hr / 72 hr, birthday campaign.","Write all email copy before launch. Do not wing it after orders start coming in.","HIGH","P2","Day 49-63","-","-","-","Oodles"
"97","BRAND","WhatsApp","Set up WhatsApp Business","Business name, description, catalogue with 3 products, quick reply scripts for: order status, ingredients query, return request. Separate business number from personal.","WhatsApp will be your highest-conversion early channel. Set it up properly.","HIGH","P2","Day 28-42","-","-","-","Founder"
"98","TESTING","Safety","Send hair oil sample for microbial testing","Submit 200ml of finished oil from first batch to NABL-accredited lab. Test: Total Plate Count, Yeast and Mould, E. coli, Staphylococcus aureus, Pseudomonas aeruginosa.","Labs in Chennai: SGS India (Guindy), Intertek, TUV SUD. Lead time: 5–7 working days.","CRITICAL","P3","Day 42-63","Rs.2500","Rs.3500","Rs.5000","Lab"
"99","TESTING","Safety","Send hair oil for heavy metals testing","Test: arsenic, lead, mercury, cadmium. Same lab as microbial. Send separately or as combined panel if lab offers it.","Essential oils and herbal extracts can carry trace metals. This is non-negotiable for consumer safety.","CRITICAL","P3","Day 42-63","Rs.4000","Rs.5500","Rs.8000","Lab"
"100","TESTING","Safety","Begin accelerated stability testing — hair oil","Set up 5 samples at: 40°C/75% humidity (stress), 25°C/60% humidity (controlled), ambient room temp. Observe monthly: colour, odour, viscosity, pH, any separation. Run for 3 months minimum to support 18-month shelf life claim on label.","Buy a small incubator if needed (₹5,000–₹8,000). Alternatively use a warm enclosed space. Monthly observations documented in M07 Retain Sample Log.","HIGH","P3","Day 42-180","Rs.5000","Rs.8000","Rs.15000","QP + Lab"
"101","TESTING","Safety","Send bath salt samples for microbial testing","Both Heart Chakra and Root Chakra variants. Same lab.","Bath salts with dried flowers can have microbial contamination from plant material.","HIGH","P3","Day 56-77","Rs.2500","Rs.4000","Rs.6000","Lab"
"102","TESTING","Fragrance","Conduct structured fragrance evaluation — 10 people","Ask 10 people to smell the hair oil and score fragrance 1–10. Ask: what notes do you detect? What does it remind you of? Is it pleasant? Would the scent put you off purchasing?","The exhibition feedback included 'didn't smell good.' This must be measured formally before launch. If average score below 6: review EO ratios.","CRITICAL","P3","Day 35-49","-","-","-","Founder"
"103","TESTING","Fragrance","If fragrance score below 6: adjust EO ratios","Increase: bergamot, vanilla, lavender (fragrance-forward EOs already in formula). Reduce: patchouli, vetiver dominance. Do not add synthetic fragrance. Re-evaluate with 10 people.","This is the one formula change that may be genuinely needed. Fragrance is part of the ritual experience.","HIGH","P3","Day 49-63","-","-","-","Founder"
"104","TESTING","Beta Round 1","Select 15 hair oil beta testers","Criteria: 5 oily scalp, 5 dry scalp, 5 normal. Mix of: friends, family, domestic staff, students, neighbours. Provide free 100ml bottle. Brief them: this is 4-week trial, please use 3×/week minimum.","Diverse hair types give more representative data than a homogeneous group.","HIGH","P3","Day 42-56","Rs.5000","Rs.9000","Rs.13500","Founder"
"105","TESTING","Beta Round 1","Create Google Form — hair oil feedback","Fields: hair type, scalp type, frequency of use, benefits observed (multi-select), issues observed, fragrance rating 1–5, texture rating 1–5, cooling sensation (yes/no), before/after photo upload, NPS 1–10, price willing to pay. Under 10 questions total.","Keep the form short. Long forms = low completion. Link sent via WhatsApp.","HIGH","P3","Day 42-49","-","-","-","Founder + Oodles"
"106","TESTING","Beta Round 1","Create WhatsApp group for beta testers","Group for real-time feedback. Post weekly prompts: 'What do you notice after Week 1?' Share usage tips. Respond to every message. This group becomes your first community.","Real-time feedback is more valuable than forms alone. The WhatsApp group is also your first brand community.","HIGH","P3","Day 42-49","-","-","-","Founder"
"107","TESTING","Beta Round 1","Conduct Week 1, 2, 3, 4 check-ins","Weekly WhatsApp message to each tester: 1 question, 1 photo request. Keep it light and conversational. Do not ask for reviews yet.","Track responses in a simple Google Sheet.","HIGH","P3","Day 49-77","-","-","-","Founder"
"108","TESTING","Beta Round 1","Select 15 bath salt beta testers","Different people from hair oil group if possible. Give both Heart Chakra and Root Chakra. Track: dissolution, fragrance, skin feel, relaxation effect, colour staining (critical — no staining acceptable).","Any colour staining means dye must be removed or changed to cosmetic-grade before launch.","HIGH","P3","Day 42-56","Rs.3000","Rs.4500","Rs.6000","Founder"
"109","TESTING","Beta Round 2","Expand to 50 hair oil testers","Include: varying hair lengths, colour-treated hair, post-partum hair loss, oily scalp, Type 4 curl pattern, men with scalp issues. Source via Instagram stories + WhatsApp broadcast.","Broader testing catches edge cases that inner circle cannot.","HIGH","P3","Day 56-84","Rs.12000","Rs.20000","Rs.30000","Founder + Marketing"
"110","TESTING","Beta Round 2","Collect before/after photos from 25+ testers","Briefing: Week 0 photo (clean hair, natural light) + Week 4 photo (same conditions). Request WhatsApp consent for use in marketing.","Even 5 compelling before/afters are powerful launch content. 25+ is excellent.","HIGH","P3","Day 77-98","-","-","-","Founder + Marketing"
"111","TESTING","Salon","Identify 5 pilot salons in Chennai for product seeding","Target: premium wellness/natural-oriented salons in Nungambakkam, Alwarpet, Adyar, RA Puram. Look for salons with Ayurvedic or natural positioning. Instagram search: #chennaihairsalon #ayurvedictreatment.","Salons are recommendation channels first, not sales channels. They give credibility.","HIGH","P3","Day 56-77","-","-","-","Founder + Sales"
"112","TESTING","Salon","Visit 5 salons — do not pitch, observe first","Visit as a customer. Note: existing product range, price points, staff knowledge, client profile, what Ayurvedic products they use. Only after observation: introduce yourself and the product.","Do not walk in with a pitch. Build a relationship first.","HIGH","P3","Day 56-70","-","-","-","Founder"
"113","TESTING","Salon","Gift free product to 5 salons for professional trial","Give 2 × 100ml bottles to each salon owner / head stylist. Ask for honest professional feedback after 2 weeks of use.","No strings. No purchase request. This is a credibility-building investment.","HIGH","P3","Day 70-84","Rs.5000","Rs.7000","Rs.10000","Founder + Sales"
"114","TESTING","Adverse Events","Create Adverse Event Response Protocol","Written protocol: if any tester reports rash, swelling, or irritation: (1) Stop supply from that batch, (2) Get full details and batch number, (3) Pull retain sample, (4) Advise tester to see a doctor (at Svaas cost if needed), (5) Consult QP and regulatory consultant, (6) Full refund.","This must be written before testing begins, not after an event occurs.","CRITICAL","P3","Day 35-42","-","-","-","Founder + QP"
"115","TESTING","Validation","Define launch go/no-go criteria","Minimum criteria to launch: (a) NPS average ≥7 (b) ≥75% positive feedback (c) ≥3 beta testers actively requesting to reorder (d) 0 serious adverse events (e) Microbial and heavy metals tests passed (f) Stability stable at 8 weeks. All 6 must be met.","Hard stop. Do not launch if any criterion is not met.","CRITICAL","P3","Day 84-98","-","-","-","Founder"
"116","TESTING","Competitor","Buy and use 5 competitor products","Buy: Indulekha Bringha Oil, Kama Ayurveda Bringadi Oil, Biotique Bio Bhringraj, Mamaearth Onion Hair Oil, WOW Onion Oil. Use each for 1 week. Note: fragrance, texture, absorption, packaging experience, price per ml. Document honestly.","You must know your competition from personal experience, not just research.","HIGH","P3","Day 35-56","Rs.1500","Rs.2500","Rs.4000","Founder"
"117","TESTING","Competitor","Document competitive analysis in tracker","For each competitor: price, size, price-per-ml, key claims, key ingredients, packaging quality, Instagram following, review count, common customer complaints (Amazon/Nykaa reviews are goldmine).","Customer complaints on competitor Amazon reviews = your positioning opportunities.","HIGH","P3","Day 35-56","-","-","-","Marketing + Founder"
"118","OPERATIONS","Fulfilment","Establish daily packing workflow SOP","Written process: orders pulled by 11am, packed by 2pm, courier collected by 4pm, tracking uploaded, customer WhatsApp sent. Post on wall.","Consistency builds trust. Late shipments destroy early brand goodwill.","HIGH","P4","Day 70-84","-","-","-","Operations"
"119","OPERATIONS","Fulfilment","Create packing checklist (per order)","Step-by-step: verify product and qty, wrap in tissue, place insert card, seal carton, attach shipping label, note batch number in dispatch log.","Batch number in dispatch log = traceability if a complaint comes in.","HIGH","P4","Day 70-84","-","-","-","Operations"
"120","OPERATIONS","Fulfilment","Stock first commercial inventory (200 units hair oil)","Manufacture and pack 200 units of hair oil for soft launch inventory. Use existing PET bottles with printed labels (including batch number).","200 units supports 6–8 weeks of initial orders at 25–30 units/week.","CRITICAL","P4","Day 70-90","Rs.12000","Rs.22000","Rs.32000","Manufacturing"
"121","OPERATIONS","Fulfilment","Stock first commercial inventory (100 units each bath salt)","Manufacture and pack 100 units each of Heart and Root Chakra bath salts.","Bath salts are simpler to produce. Can be made in 2–3 hours per 100-unit batch.","HIGH","P4","Day 70-90","Rs.4000","Rs.7000","Rs.10000","Manufacturing"
"122","OPERATIONS","Fulfilment","Set up finished goods storage","Dedicated area in manufacturing room or adjacent space. Shelves labelled by SKU and batch. Away from direct light and heat. Track units in FG inventory sheet.","Never store finished goods on the floor.","HIGH","P4","Day 63-77","-","-","-","Operations"
"123","OPERATIONS","Fulfilment","Test one complete order end-to-end","Place a test order on Shopify from a personal device. Pay via Razorpay. Pack the order. Generate Shiprocket label. Dispatch. Receive. Check product condition on arrival.","This end-to-end test reveals every gap in the fulfilment process before real customers experience it.","CRITICAL","P4","Day 77-84","Rs.599","Rs.599","Rs.599","Founder"
"124","MARKETING","Pre-launch","Announce on WhatsApp — inner circle (100 people)","Send personal WhatsApp message to 100 known contacts: 'We are launching Svaas Svaaskriti Hair Oil in a few weeks. You get first access. Reply if you want to be on the early list.' No link yet.","Building a waitlist before launch creates launch-day demand. Aim for 30–50 confirmed interest responses.","HIGH","P4","Day 70-84","-","-","-","Founder"
"125","MARKETING","Pre-launch","Post 3 pre-launch Instagram teaser posts","Post 1: Founder story — why Svaas exists. Post 2: 61 ingredients flat-lay with ingredient names. Post 3: behind-the-scenes of oil being made. No product sale link yet. Just community building.","Pre-launch posts with no selling pressure get higher organic engagement.","HIGH","P4","Day 70-84","-","-","-","Oodles"
"126","MARKETING","Pre-launch","Seed 15 micro-influencers before launch","Identify 15 Chennai wellness/beauty nano-influencers (5K–50K followers, >3% engagement). DM personally. Gift product. Ask for honest review if they love it — no payment required initially.","Nano-influencers in Chennai have high local trust. One honest post from a credible account is worth 10 paid posts.","HIGH","P4","Day 63-84","Rs.6000","Rs.10000","Rs.16000","Marketing"
"127","MARKETING","Corporate","Design corporate gifting catalogue (PDF)","1-page PDF: gift set options (₹599 / ₹999 / ₹1,499 / ₹1,999), customisation options, MOQ 25 units, bulk pricing, lead time 7–10 days, contact details. Clean, professional design — not a brochure.","Corporate gifting is the fastest early revenue channel if you have network access.","HIGH","P4","Day 63-84","Rs.2000","Rs.3000","Rs.5000","Oodles"
"128","MARKETING","Corporate","Build list of 25 Chennai corporate prospects","HR/Admin contacts at IT companies, consulting firms, pharma, financial services. Diwali / Pongal / Women's Day are primary gifting occasions. Decision made 4–6 weeks before festival.","LinkedIn is the best tool for finding HR/Admin contacts.","HIGH","P4","Day 63-84","-","-","-","Founder + Sales"
"129","MARKETING","PR","Create press kit","Contents: printed brand story (1 page), product description, 2 product photos on USB / email, QR code to ingredient library, handwritten note from founder. 10 kits.","Send to: Vogue India (beauty editor), Femina, The Hindu MetroPlus, Behindwoods lifestyle, GoodHomes, Verve.","MEDIUM","P4","Day 70-90","Rs.5000","Rs.9000","Rs.15000","Oodles + Founder"
"130","MARKETING","Retail","Prepare retail approach package","Documents ready: company profile, GSTIN certificate, cosmetic licence copy (when received), product catalogue, MRP and trade prices (MRP minus 35%), barcode list, test reports summary, label compliance declaration.","Do not approach retail chain buyer without ALL of this ready.","CRITICAL","P4","Day 77-105","-","-","-","Founder + Sales"
"131","MARKETING","Retail","Schedule informal meeting with retail chain contact","Not a pitch meeting. A 'getting to know your requirements' meeting. Questions to ask: What is their customer profile? What natural products do they currently carry? What is their margin expectation? What is their vendor onboarding process?","Learn before pitching. Never pitch on the first meeting.","HIGH","P4","Day 77-105","-","-","-","Founder + Sales"
"132","MARKETING","Price","Conduct formal price point analysis","Build a 1-page comparison: competitor prices per 100ml (Indulekha, Kama, Biotique, WOW, Mamaearth). Calculate Svaas price per ml at ₹499 / ₹599 / ₹699 / ₹799. Survey 20 target customers: show product and ask what price they would expect. Decide MRP before labels print.","Price is very hard to increase post-launch. Decide once, decide with data.","CRITICAL","P4","Day 35-63","-","-","-","Founder + Finance"
"133","MARKETING","Soft Launch","Open Shopify to first 50 orders — WhatsApp only","Share Shopify link via personal WhatsApp only. Offer: ₹50 off first order (code: SVAAS50) in exchange for a photo review. Goal: 50 orders in first 2 weeks.","Soft launch = learning, not revenue maximisation. Fix every fulfilment issue before going public.","CRITICAL","P5","Day 90-105","Rs.2500","Rs.3500","Rs.5000","Founder"
"134","MARKETING","Soft Launch","Post launch day content on Instagram","Post 1 (launch day): Brand film reel. Post 2: Founder story carousel. Post 3: Three before/after testimonials from beta testers. Stories: behind-the-scenes of packing first orders.","Coordinate all three posts on same day. Launch day = maximum organic reach.","HIGH","P5","Day 90-91","-","-","-","Oodles"
"135","MARKETING","Soft Launch","Personal message to every first 50 customers","After each of first 50 orders: send personal WhatsApp from founder: 'Thank you for being one of our first 50. Your order is packed with care.' Include: expected delivery date.","Personal touches in the first 50 orders create disproportionate loyalty and word-of-mouth.","HIGH","P5","Day 90-105","-","-","-","Founder"
"136","MARKETING","Soft Launch","Review first 10 orders on arrival","Ask first 10 buyers to send an unboxing photo. Check: product condition, packaging integrity, insert card present, no leaks. Identify any fulfilment issues.","Fix any issue before the next 40 orders. Do not scale broken fulfilment.","CRITICAL","P5","Day 93-105","-","-","-","Founder + Operations"
"137","MARKETING","Soft Launch","First corporate gifting pitch — 5 companies","Send email + WhatsApp to HR contacts at 5 Chennai companies. Attach gifting catalogue PDF. Offer: ₹99 sample set (deducted from first order). Diwali timing if in Oct–Nov. Women's Day if in Feb–Mar.","Make trial barrier as low as possible.","HIGH","P5","Day 90-120","Rs.2500","Rs.4000","Rs.7500","Founder + Sales"
"138","OPERATIONS","Post-launch","Establish daily order tracking ritual","Every morning: (a) Check Shopify for new orders (b) Check Shiprocket for dispatch status (c) Check WhatsApp for customer messages (d) Update FG inventory count (e) Flag any stock approaching reorder point.","This 15-minute morning ritual prevents every operational surprise.","HIGH","P5","Day 90 onwards","-","-","-","Operations"
"139","OPERATIONS","Post-launch","Create returns handling process","Policy: accept returns for damaged/wrong product within 7 days. No return on opened product except safety concerns. Process: customer sends photo → verify → send replacement or refund within 48 hours.","How you handle the first return defines your brand more than how you handle the first sale.","HIGH","P5","Day 90 onwards","-","-","-","Operations"
"140","CUSTOMER","CRM","Tag all first 50 customers in Shopify","Tag: 'Founding Customer'. These customers get: early access to new products, personal notes from founder, gratitude discount on second order. Treat them as VIPs permanently.","Founding customers who feel special become brand advocates. Their word-of-mouth is worth more than advertising.","HIGH","P5","Day 90-105","-","-","-","Marketing + Founder"
"141","CUSTOMER","Feedback","Deploy 7-day post-purchase feedback","Klaviyo email Day 7 after delivery: 3-question mini-survey — How is your hair feeling? What have you noticed? Anything we should know? Reply-friendly, not a formal survey.","Day 7 is peak engagement. Customer has used the product enough to form an opinion.","HIGH","P5","Day 97-120","-","-","-","Marketing"
"142","COMPLIANCE","Public Launch","Confirm licence received before public launch","Do not run public paid advertising or approach media before cosmetic manufacturing licence is in hand. Soft launch to personal network is acceptable without licence. Public commercial launch requires it.","This is the line. Personal network = soft launch OK. Strangers = need licence.","CRITICAL","P5","Day 120-150","-","-","-","Founder + Regulatory"
"143","MARKETING","Public Launch","Reprint labels with licence number","Once licence is received, add licence number to label artwork. Reprint labels. Apply to all units before public launch.","Labels without licence number are non-compliant for commercial sale.","CRITICAL","P5","Day 120-150","Rs.9000","Rs.15000","Rs.24000","Oodles + Vendor"
"144","MARKETING","Public Launch","Launch Instagram paid campaign (₹200–₹500/day)","First paid campaign: test 3 creative concepts (brand film / before-after / ingredient story). Target: Chennai + Bangalore + Mumbai women 22–40, interests: wellness, Ayurveda, natural beauty.","Start small. Optimise ROAS before scaling budget.","HIGH","P5","Day 150-180","Rs.6000","Rs.9000","Rs.15000","Marketing"
"145","MARKETING","Public Launch","Submit PR kits to 10 media contacts","Send kits with personalised note from founder. Follow up after 1 week with a brief WhatsApp message.","PR coverage is a long-shot but the backlinks and credibility are worth the cost of the kits.","MEDIUM","P5","Day 150-170","-","-","-","Founder + Oodles"
"146","MARKETING","Retail","Make formal retail pitch to chain buyer","Now you have: licence, barcode, retail-grade packaging, test reports, 50+ orders of proof. Bring: product samples, gifting catalogue, trade price list, onboarding documentation.","This meeting is the culmination of 5 months of preparation. Be ready.","HIGH","P5","Day 150-180","-","-","-","Founder + Sales"
"147","OPERATIONS","Scale","Hire first part-time production helper","When orders exceed 100/month: hire 1 part-time helper (2–3 days/week) for: labelling, carton assembly, ingredient weighing, cleaning. Train to all relevant SOPs before first unsupervised session.","Free founder from packing to focus on brand and sales.","HIGH","P6","Day 180-210","-","-","-","Founder"
"148","MARKETING","Digital","Enable WhatsApp automation (AiSensy or Wati)","Connect to Shopify. Automate: order confirmation, shipping update, delivery confirmation, Day-3 usage tip, Day-7 feedback request.","AiSensy starter: ₹999/month. Worth it from Month 6 when manual messages become unmanageable.","HIGH","P6","Day 180-210","Rs.999","Rs.1200","Rs.2000","Oodles"
"149","MARKETING","Retention","Launch referral programme","Simple mechanic: give customer a unique code. When a friend orders using the code: ₹50 off for friend, ₹50 credit for referrer. Track in Shopify.","Referral CAC is effectively zero. Works best when product quality drives genuine recommendation.","HIGH","P6","Day 180-210","-","Rs.2000","Rs.5000","Oodles"
"150","MARKETING","Retail","Onboard first 3–5 retail stores","Once retail chain agrees: supply first stock (consignment or sale-or-return for pilot, hard sell for all subsequent orders), provide display unit, brief store staff on product, set replenishment schedule.","Display unit at counter = 30–40% higher sell-through rate vs shelf stacking.","HIGH","P6","Day 210-250","Rs.8000","Rs.15000","Rs.25000","Sales + Operations"
"151","PRODUCT","Expansion","Evaluate launching remaining 5 chakra bath salts","Decision gate: if Heart + Root Chakra have achieved 50+ units sold each: manufacture Solar Plexus, Sacral, Throat, Third Eye, Crown variants. If not: hold and focus on hero SKU.","Only expand when current SKUs have velocity.","MEDIUM","P6","Day 210-250","Rs.5000","Rs.8000","Rs.15000","Founder + Product"
"152","FINANCE","Review","Month 6 financial review","Full P&L review with CA. Update unit economics (actual COGS vs estimate). Recalculate break-even. Update 6-month cash flow forecast. Assess: is pricing right? Is any channel unprofitable?","Monthly reviews prevent financial surprises.","HIGH","P6","Day 180 onwards","-","-","-","Finance + Founder"
"153","OPERATIONS","Scale","Upgrade to second 20L vessel + capacity review","When orders consistently exceed 300/month: add second 20L vessel. New capacity: ~400 units/week. Review if 150 sq ft is sufficient for this volume.","Plan capacity upgrade 2 months before hitting ceiling. Never scramble.","HIGH","P7","Day 270-310","Rs.5000","Rs.8000","Rs.14000","Operations"
"154","MARKETING","Nykaa","Evaluate Nykaa seller listing","Apply to Nykaa marketplace if: (a) 100+ genuine website reviews, (b) consistent supply available, (c) brand positioning is established. Commission: 18–25%.","Nykaa brings discovery but erodes brand positioning if entered too early.","MEDIUM","P7","Day 300-365","-","-","-","Marketing + Founder"
"155","MARKETING","Salon","Launch salon commercial channel","For 5 pilot salons with positive feedback: introduce 200ml professional SKU. Pricing: ₹450 for 200ml (wholesale). Salons charge ₹300–₹600 for scalp treatment using product. Salon ROI is strong.","The math must work for the salon, not just for Svaas.","HIGH","P7","Day 270-310","Rs.12000","Rs.20000","Rs.32000","Sales + Operations"
"156","MARKETING","Content","Launch ingredient spotlight series — 1 per week","Post one ingredient deep-dive per week: ingredient name in English + Tamil + Sanskrit, what it does for hair, where it comes from, why it is in Svaaskriti. 57 ingredients = 57 weeks of content.","This series educates customers and creates SEO-rich content simultaneously.","HIGH","P7","Day 270 onwards","-","-","-","Oodles"
"157","MARKETING","SEO","Publish 4 long-form blog articles","Article 1: 'Why Ayurvedic Hair Oiling Works.' Article 2: 'The Science Behind 61 Ingredients.' Article 3: 'What is Hair Nourishment vs Hair Treatment?' Article 4: 'How to Build a Hair Ritual.' Target: 1,500 words each. Keyword-rich.","Long-form SEO content compounds over time. Start now for Year 2 organic benefit.","HIGH","P7","Day 270-365","-","-","-","Oodles"
"158","PEOPLE","Hiring","Hire marketing executive (Month 9–12)","When Instagram exceeds 5K followers and orders consistently above 300/month: hire 1 part-time or full-time marketing executive. Role: content creation, community management, influencer coordination. Range: ₹18,000–₹28,000/month.","Do not hire before revenue supports the cost.","MEDIUM","P7","Day 270-365","Rs.18000","Rs.22000","Rs.28000","Founder"
"159","OPERATIONS","Scale","Evaluate dedicated manufacturing space","When monthly revenue consistently exceeds ₹5 lakh: evaluate renting 500–800 sq ft dedicated manufacturing unit. Separate from Oodles office. Allows larger batch processing and cleaner compliance.","Do not move before revenue justifies it. 150 sq ft + Oodles office can support up to ~500 units/month.","MEDIUM","P8","Day 400-450","Rs.8000","Rs.12000","Rs.18000","Founder + Operations"
"160","COMPLIANCE","GMP","Initiate GMP certification process","Required for: export, major retail chains, Nykaa premium listing. Cost: ₹50,000–₹1,50,000. Timeline: 3–6 months. Start process in Year 2.","GMP certification is a Year 2 investment that opens Year 3 opportunities.","MEDIUM","P8","Day 450-550","Rs.50000","Rs.100000","Rs.150000","Regulatory + QP"
"161","LEGAL","Export","Register IEC (Import Export Code)","Apply online at DGFT portal. Fee: ₹500. Needed before any export. Can be done any time — file as soon as business is established.","Takes 2–3 days. No reason to delay.","LOW","P8","Day 365-400","Rs.500","Rs.500","Rs.500","Founder + CA"
"162","MARKETING","Marketplace","List on Nykaa","After 100+ reviews on own website, consistent supply, and established brand: apply to Nykaa seller programme. Prepare: brand story, licence copy, test reports, white-background product photography, Nykaa-format product descriptions.","Nykaa brings discovery but high commission. Plan economics before listing.","HIGH","P8","Day 400-450","-","-","-","Marketing + Founder"
"163","PRODUCT","Expansion","Launch soap range (Cinn-Oat Glow, Wine Elegance)","After hair oil has velocity: evaluate soap launch. Soaps require: cold-process SOP, lye handling safety protocol, cure time (4–6 weeks), separate packaging. Defer until Year 2.","Do not rush soaps. They require a genuinely separate manufacturing process.","LOW","P8","Day 450-550","Rs.10000","Rs.18000","Rs.30000","Founder + Product"
"164","PEOPLE","Hiring","Hire operations manager (Year 2)","When orders consistently exceed 1,000/month: hire dedicated operations manager. Role: batch scheduling, vendor management, QC oversight, shipping management. Range: ₹25,000–₹40,000/month.","Operations manager frees founder from daily ops and enables scale.","MEDIUM","P8","Day 500-600","Rs.25000","Rs.32000","Rs.40000","Founder"
"165","OPERATIONS","Manufacturing","Manufacture to plan — batch scheduling","Every month: plan batches based on sales forecast + 6-week buffer. Schedule batch days. Prepare ingredients list. Execute with BMR documentation.","Never manufacture without a written batch plan and completed BMR.","CRITICAL","ONGOING","Monthly","-","-","-","Manufacturing"
"166","OPERATIONS","Inventory","Weekly finished goods count","Every Monday: physical count of all SKUs. Compare to Shopify inventory. Reconcile discrepancies. Flag any SKU below 6-week buffer.","Shopify inventory is not always accurate. Physical count is the truth.","HIGH","ONGOING","Weekly","-","-","-","Operations"
"167","OPERATIONS","Inventory","Weekly raw material reorder check","Every Monday: review RM inventory tracker. Any ingredient below reorder point: trigger purchase order that day.","Ingredient stockouts stop production. Catch them a month early, not a day late.","HIGH","ONGOING","Weekly","-","-","-","Operations"
"168","FINANCE","Accounting","Monthly P&L close","By 5th of each month: reconcile previous month revenue, COGS, operating expenses. Update rolling cash flow forecast. Share with CA for GST filing inputs.","Monthly close is non-negotiable. It is how you know if the business is healthy.","CRITICAL","ONGOING","Monthly","-","-","-","Finance + CA"
"169","FINANCE","Tax","GST filing","GSTR-1 by 11th of each month. GSTR-3B by 20th. Input credit reconciliation with GSTR-2B monthly.","Missed GST filing attracts penalties. Set calendar reminders.","CRITICAL","ONGOING","Monthly","-","-","-","CA"
"170","MARKETING","Social","Post 3× per week on Instagram","Maintain content calendar. Do not go silent for more than 3 days. Mix: ingredient education, product, ritual inspiration, customer stories, founder perspective.","Consistency compounds. 3 posts per week × 52 weeks = 156 touchpoints per year.","HIGH","ONGOING","3x/week","-","-","-","Oodles"
"171","MARKETING","Email","Monthly customer email newsletter","Themes: one ingredient story, one ritual idea, one behind-the-scenes, one product update. Under 300 words. Personal tone.","Email newsletter has the highest ROI of any marketing channel for small brands.","HIGH","ONGOING","Monthly","-","-","-","Oodles"
"172","CUSTOMER","Reviews","Review collection follow-up","Klaviyo: email Day 10 post-delivery requesting review with photo. WhatsApp Day 10 for customers who have not opened email.","Reviews compound. 100 reviews = significantly higher conversion rate.","HIGH","ONGOING","Per order","-","-","-","Marketing"
"173","CUSTOMER","Complaints","Monitor and respond to all complaints within 24 hours","Check: Shopify reviews, Instagram comments, WhatsApp, email. Every complaint gets a personal response within 24 hours regardless of platform.","One unresolved public complaint costs more than 10 good reviews.","CRITICAL","ONGOING","Daily","-","-","-","Founder + Operations"
"174","FOUNDER","Reviews","Monthly founder review (1 hour)","First Friday of every month: review previous month metrics — revenue, units, complaints, NPS, top feedback themes. Update decision log. Set 3 priorities for next month.","This ritual keeps strategy alive in the middle of daily operations.","HIGH","ONGOING","Monthly","-","-","-","Founder"
